Girth,Height,Volume,fit,se.fit
8.3,70,10.3,2.31,0.032
8.6,65,10.3,2.3,0.033
8.8,63,10.2,2.31,0.036
10.5,72,16.4,2.81,0.02
10.7,81,18.8,2.98,0.028
10.8,83,19.7,3.02,0.032
11,66,15.6,2.8,0.028
11,75,18.2,2.95,0.018
11.1,80,22.6,3.04,0.025
11.2,75,19.9,2.98,0.018
11.3,79,24.2,3.06,0.022
11.4,76,21,3.03,0.018
11.4,76,21.4,3.03,0.018
11.7,69,21.3,2.97,0.022
12,75,19.1,3.12,0.015
12.9,74,22.2,3.25,0.015
12.9,85,33.8,3.4,0.028
13.3,86,27.4,3.48,0.029
13.7,71,25.7,3.32,0.022
13.8,64,24.9,3.22,0.04
14,78,34.5,3.47,0.016
14.2,80,31.7,3.52,0.017
14.5,74,36.3,3.48,0.019
16,72,38.3,3.64,0.028
16.3,77,42.6,3.75,0.022
17.3,81,55.4,3.93,0.024
17.5,82,55.7,3.97,0.025
17.9,80,58.3,3.98,0.026
18,80,51.5,3.99,0.026
18,80,51,3.99,0.026
20.6,87,77,4.36,0.035
